rank,geek_rating,game_id
1,8.42343,224517
2,8.38948,161936
3,8.38731,174430
4,8.30241,342942
5,8.24265,233078
6,8.23206,167791
7,8.20602,291457
8,8.17531,316554
9,8.1726,115746
10,8.16845,187645
11,8.15187,162886
12,8.14326,220308
13,8.08878,182028
14,8.08118,12333
15,8.0664,193738
16,8.01859,169786
17,8.00571,84876
18,7.97596,173346
19,7.97033,167355
20,7.96576,28720
21,7.95532,246900
22,7.95444,124361
23,7.94498,177736
24,7.94229,266507
25,7.92675,266192
26,7.92128,120677
27,7.9111,205637
28,7.89074,237182
29,7.88995,312484
30,7.87626,164928
31,7.87055,199792
32,7.86172,96848
33,7.86117,183394
34,7.84661,341169
35,7.8461,251247
36,7.83336,324856
37,7.81942,175914
38,7.81781,192135
39,7.80571,285774
40,7.80155,256960
41,7.79559,3076
42,7.78878,247763
43,7.78523,102794
44,7.77883,170216
45,7.77112,185343
46,7.7683,31260
47,7.7575,295947
48,7.75633,184267
49,7.74117,314040
50,7.73976,221107
51,7.73558,205059
52,7.73224,521
53,7.73204,276025
54,7.72003,126163
55,7.7201,255984
56,7.71858,284378
57,7.7144,2651
58,7.71051,161533
59,7.69903,284083
60,7.69712,216132
61,7.6943,244521
62,7.68904,35677
63,7.68607,164153
64,7.68511,266810
65,7.68149,125153
66,7.68163,209010
67,7.66496,55690
68,7.65917,182874
69,7.65878,124742
70,7.65027,230802
71,7.63747,72125
72,7.63713,28143
73,7.63654,253344
74,7.63388,191189
75,7.63203,201808
76,7.63068,200680
77,7.63076,157354
78,7.61991,25613
79,7.61835,366013
80,7.61693,159675
81,7.61661,229853
82,7.60086,110327
83,7.59945,121921
84,7.59683,171623
85,7.5963,295770
86,7.59391,62219
87,7.59214,68448
88,7.5905,317985
89,7.58368,231733
90,7.57495,180263
91,7.57521,264220
92,7.56101,236457
93,7.55569,93
94,7.55386,279537
95,7.54666,37111
96,7.54192,122515
97,7.53701,18602
98,7.53629,225694
99,7.53251,170042
100,7.53138,172386
101,7.53105,155821
102,7.52821,40834
103,7.52381,42
104,7.52405,73439
105,7.52367,203993
106,7.52292,146021
107,7.52154,269385
108,7.51875,163068
109,7.51637,12493
110,7.50163,144733
111,7.50122,163412
112,7.49717,102680
113,7.49264,205896
114,7.48487,218417
115,7.48424,36218
116,7.48231,281259
117,7.48216,256916
118,7.47593,233371
119,7.47191,175640
120,7.46757,178900
121,7.46542,198928
122,7.46492,172287
123,7.46162,4098
124,7.46033,132531
125,7.45997,175155
126,7.45998,196340
127,7.45694,43015
128,7.45413,266524
129,7.45235,263918
130,7.45015,217372
131,7.44947,310873
132,7.44526,30549
133,7.43882,262712
134,7.43449,274364
135,7.43238,118048
136,7.43222,271055
137,7.43065,127023
138,7.42908,2511
139,7.42684,161970
140,7.42354,233398
141,7.4245,271324
142,7.42405,147020
143,7.41979,308765
144,7.41788,220877
145,7.41687,254640
146,7.41546,146652
147,7.41467,34635
148,7.40972,14996
149,7.40571,328871
150,7.40436,103885
151,7.40217,77423
152,7.39949,233867
153,7.39864,148949
154,7.39861,296151
155,7.39781,283948
156,7.39557,82222
157,7.39146,244522
158,7.39098,265188
159,7.39023,463
160,7.38714,304783
161,7.3842,189932
162,7.38259,268864
163,7.37852,43111
164,7.37709,54043
165,7.37489,9609
166,7.37124,249259
167,7.36998,329082
168,7.36767,188920
169,7.36779,287954
170,7.36735,104162
171,7.36049,12
172,7.35976,10630
173,7.35429,282524
174,7.35407,209418
175,7.35116,39463
176,7.35038,17133
177,7.34673,128882
178,7.34542,155426
179,7.34476,294484
180,7.34242,199561
181,7.33875,70149
182,7.33429,103343
183,7.33267,291453
184,7.33155,31627
185,7.3305,150376
186,7.33021,25021
187,7.32489,14105
188,7.32452,123260
189,7.3221,242302
190,7.3204,227224
191,7.31749,104006
192,7.31629,171131
193,7.31495,283355
194,7.31286,188
195,7.31031,221194
196,7.3112,235802
197,7.30584,148228
198,7.30571,21050
199,7.30548,271896
200,7.30437,195421
201,7.3043,182631
202,7.30374,245638
203,7.30416,300531
204,7.30294,126042
205,7.30275,283155
206,7.3002,215
207,7.29849,822
208,7.29482,293014
209,7.29442,91
210,7.29281,118
211,7.29229,306735
212,7.28976,310100
213,7.28587,7854
214,7.28646,314491
215,7.28391,9209
216,7.28195,54998
217,7.28094,285967
218,7.28098,146886
219,7.28042,224037
220,7.27403,188834
221,7.27269,318977
222,7.27225,295486
223,7.26775,129437
224,7.26624,156129
225,7.26499,176189
226,7.26371,158600
227,7.26259,232832
228,7.26029,269207
229,7.25939,109276
230,7.25918,223321
231,7.25885,169426
232,7.25705,227935
233,7.25667,555
234,7.25687,241451
235,7.25161,199478
236,7.25143,239188
237,7.25127,192291
238,7.25079,9216
239,7.25115,339789
240,7.24809,274637
241,7.24713,194655
242,7.24239,176494
243,7.23817,19857
244,7.23673,228341
245,7.23702,198994
246,7.23684,223040
247,7.23285,20551
248,7.23239,421
249,7.23109,31481
250,7.23089,364073
251,7.23004,146508
252,7.2282,165722
253,7.22705,27708
254,7.22687,3
255,7.22609,128621
256,7.22432,27833
257,7.22294,350184
258,7.22221,300322
259,7.21607,140620
260,7.21482,232405
261,7.21445,260605
262,7.21322,286096
263,7.21133,127060
264,7.21111,277659
265,7.20907,155068
266,7.20432,204583
267,7.2047,305096
268,7.20306,224783
269,7.19829,251661
270,7.19762,144344
271,7.1947,760
